segment,priority,target,why,angle
Стоматологии/клиники,1,Фактор Улыбки,сеть клиник с входящими заявками и филиалами,не терять заявки вечером/в выходные; автоответ + запись к администратору
Стоматологии/клиники,1,Витаника,медицинская/стоматологическая сеть,быстрый ответ пациенту и квалификация услуги/филиала
Стоматологии/клиники,1,Рудента,стоматологическая сеть,сокращение потерь заявок с рекламы
Стоматологии/клиники,1,Дента-Эль,стоматологическая сеть,скорость ответа и уведомления администраторам
Стоматологии/клиники,1,Belgravia Dental Studio,премиальная стоматология с дорогим лидом,быстрый первый контакт и запись
Стоматологии/клиники,1,Tomson Clinic,клиника/стоматология,автоответ и первичная квалификация
Стоматологии/клиники,1,локальные стоматологии 2–10 филиалов,реалистичный SMB/midmarket ICP,пилот на 2 недели для заявок с сайта/рекламы
Стоматологии/клиники,1,косметологические клиники с рекламой,дорогой лид и конкуренция,быстрый ответ и запись на консультацию
Ремонт/стройка,1,студии ремонта квартир под ключ,дорогой лид; клиент сравнивает подрядчиков,ответить раньше конкурентов
Ремонт/стройка,1,компании по установке окон,много заявок и высокая конкуренция,сбор адреса/размера/срока/контакта
Ремонт/стройка,1,кухни на заказ,высокий чек и длинная квалификация,сбор параметров проекта до менеджера
Ремонт/стройка,1,студии дизайна интерьера,дорогой лид; нужна первичная квалификация,сбор объекта/метража/бюджета/сроков
Ремонт/стройка,1,инженерные системы / кондиционирование,сезонность и входящие заявки,быстрый ответ и сбор параметров объекта
Ремонт/стройка,1,загородное строительство / каркасные дома,очень дорогой лид,квалификация бюджета/участка/сроков
Ремонт/стройка,1,ремонт санузлов под ключ,понятный сценарий квалификации,быстрый расчёт/заявка на замер
Юристы,2,Яланжи и партнёры,юридические услуги для бизнеса,сбор сути обращения без консультации; быстрый контакт
Юристы,2,Консалт-групп,юридические услуги SMB,квалификация запроса и срочности
Юристы,2,Право-Гарант,юридические услуги,отсев мусорных заявок и быстрый перезвон
Юристы,2,Бизнес-Партнер,юридическое сопровождение,сбор вводных до юриста
Юристы,2,Адвокат Дигин и партнёры,юридические услуги бизнесу,быстро принять срочное обращение
Юристы,2,Dvitex,юридическое сопровождение бизнеса,первичная квалификация обращения
Юристы,2,юристы по банкротству физлиц,дорогой лид и высокая конкуренция,сбор долга/срочности/города/контакта
Юристы,2,арбитражные юристы для малого бизнеса,дорогие B2B-заявки,сбор типа спора/суммы/срока
Недвижимость,3,Домплюсофис,агентство недвижимости среднего размера,быстрый ответ по объекту/бюджету/району
Недвижимость,3,Metry Group,недвижимость/новостройки,квалификация бюджета/района/ипотеки
Недвижимость,3,ЭВО недвижимость,агентство недвижимости,не терять лиды с рекламы/квизов ночью
Недвижимость,3,Центральное агентство недвижимости / группа ПЛЮС,агентство с большим потоком лидов,speed-to-lead по новостройкам
Недвижимость,3,Русский Фонд Недвижимости,агентство недвижимости,первичная квалификация покупателя
Недвижимость,3,агентства новостроек СПб/Краснодар/Казань,локальные midmarket-компании,быстрый ответ и назначение менеджера
Недвижимость,3,загородная недвижимость / коттеджные посёлки,дорогой лид и сезонность,сбор бюджета/локации/срока
Recruitment/B2B,4,IT and Digital,кадровое агентство в IT/sales,сбор вакансии/профиля/сроков
Recruitment/B2B,4,Tech-Recruiter,IT-рекрутинг,квалификация заявки работодателя
Recruitment/B2B,4,IT-KA,IT-рекрутинг,быстро принять заявку на подбор
Recruitment/B2B,4,Spice IT,IT recruitment,сбор вводных по вакансии
Recruitment/B2B,4,Wanted,рекрутинг/консалтинг,квалификация входящего B2B-лида
Recruitment/B2B,4,HEAAD,executive/recruitment,сбор запроса до консультанта
Recruitment/B2B,4,КАУС,кадровое агентство,первичная квалификация входящих заявок
Recruitment/B2B,4,KSK Expert,кадровое/консалтинг,быстрый ответ и бриф
Digital/CRM партнёры,2,LoftyLab,CRM/digital-интегратор,партнёрский white-label оффер клиентам
Digital/CRM партнёры,2,ConvertMe,digital/performance/CRM,допродажа speed-to-lead клиентам на рекламе
Digital/CRM партнёры,2,небольшие amoCRM/Bitrix24-интеграторы,у них уже есть клиенты с заявками,партнёрская установка поверх CRM
Digital/CRM партнёры,2,performance-агентства для клиник/ремонта/юристов,им важна конверсия оплаченных лидов,допродажа клиентам как CRO/lead handling
